algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1500,3,5,1559526
mmClasicaFork,1500,3,6,1609179
mmClasicaFork,1500,3,7,1596553
mmClasicaFork,1500,3,8,1567329
mmClasicaFork,1500,3,9,1560926
mmClasicaFork,1500,3,10,1571967
mmClasicaFork,1500,3,11,1561103
mmClasicaFork,1500,3,12,1567274
mmClasicaFork,1500,3,13,1609832
mmClasicaFork,1500,3,14,1565839
mmClasicaFork,1500,3,15,1574153
mmClasicaFork,1500,3,16,1561962
mmClasicaFork,1500,3,17,1562305
mmClasicaFork,1500,3,18,1597847
mmClasicaFork,1500,3,19,1608638
mmClasicaFork,1500,3,20,1590989
mmClasicaFork,1500,3,21,1586255
mmClasicaFork,1500,3,22,1583093
mmClasicaFork,1500,3,23,1579246
mmClasicaFork,1500,3,24,1575592
mmClasicaFork,1500,3,25,1573810
mmClasicaFork,1500,3,26,1578475
mmClasicaFork,1500,3,27,1564907
mmClasicaFork,1500,3,28,1569386
mmClasicaFork,1500,3,29,1574039
mmClasicaFork,1500,3,30,1573758
mmClasicaFork,1500,4,1,1182414
mmClasicaFork,1500,4,2,1174966
mmClasicaFork,1500,4,3,1181731
mmClasicaFork,1500,4,4,1177915
mmClasicaFork,1500,4,5,1176142
mmClasicaFork,1500,4,6,1175677
mmClasicaFork,1500,4,7,1181700
mmClasicaFork,1500,4,8,1199469
mmClasicaFork,1500,4,9,1191680
mmClasicaFork,1500,4,10,1190376
mmClasicaFork,1500,4,11,1181761
mmClasicaFork,1500,4,12,1187764
mmClasicaFork,1500,4,13,1196028
mmClasicaFork,1500,4,14,1185015
mmClasicaFork,1500,4,15,1185910
mmClasicaFork,1500,4,16,1189502
mmClasicaFork,1500,4,17,1193178
mmClasicaFork,1500,4,18,1183767
mmClasicaFork,1500,4,19,1183759
mmClasicaFork,1500,4,20,1184986
mmClasicaFork,1500,4,21,1195271
mmClasicaFork,1500,4,22,1194639
mmClasicaFork,1500,4,23,1183489
mmClasicaFork,1500,4,24,1184743
mmClasicaFork,1500,4,25,1185680
mmClasicaFork,1500,4,26,1190721
mmClasicaFork,1500,4,27,1188946
mmClasicaFork,1500,4,28,1192853
mmClasicaFork,1500,4,29,1189298
mmClasicaFork,1500,4,30,1189039
mmClasicaFork,1500,5,1,954875
mmClasicaFork,1500,5,2,956482
mmClasicaFork,1500,5,3,953328
mmClasicaFork,1500,5,4,955473
mmClasicaFork,1500,5,5,950529
mmClasicaFork,1500,5,6,957572
